,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
270,Sonata WoO 47 No.3 Mvt.1,Sonata WoO 47 No.3 Mvt.1,Mvt.1 No.3 WoO47 السوناتا,D大调钢琴奏鸣曲第一章,D大調鋼琴奏鳴曲第一章,Sonata Woo 47 No.3 Mvt.1,Sonata WoO 47 No.3 Mvt.1,Sonata Woo 47 No.3 MVT.1,Sonata woo 47 n ° 3 MVT.1,Sonata WoO47 No.3 Mvt.1,सोनाटा वू 47 नंबर 3 एमवीटी .1,Sonata Woo 47 No.3 MVT.1,Sonata Woo 47 No.3 Mvt.1,Sonata WoO 47 No. 3 Mvt. 1,ソナタ WoO 47-1 第1楽章,Sonata Woo 47 No.3 Mvt.1,Sonata Woo 47 No.3 MVT.1,Sonata Woo 47 nr 3 Mvt.1,Sonata Woo 47 No.3 Mvt.1,Sonata Woo 47 No.3 Mvt.1,Соната WoO47 No.3 Mvt.1,Sonata Woo 47 No.3 MVT.1,Sonata Woo 47 No.3 MVT.1,Sonata Woo 47 No.3 MVT.1,Sonata Woo 47 No.3 Mvt.1,Sonata WoO 47 No.3 Bölüm 1,Sonata Woo 47 No.3 MVT.1
271,Nocturne in B Op.32 No.1,Nocturne in B Op.32 No.1,Nocturne in B Op.32 No.1,B大调夜曲 Op.32 No.1,B大調夜曲 Op.32 No.1,Nocturne in B Op.32 Nr. 1,Nocturne in B Op.32 No.1,Nocturne in B op.32 No.1,Nocturne en b op.32 n ° 1,Nocturne in B Op.32 Nr.1,Nocturne in b op.32 No.11,Nocturne di B Op.32 No.1,Nocturne in B Op.32 No.1,Nocturne in B Op. 32 No. 1,夜想曲 ロ長調 Op.32-1,Nocturne di B Op.32 No.1,Nocturne i B Op.32 No.1,Nocturne w b op.32 nr 1,Nocturne em B Op.32 No.1,Nocturne em B Op.32 No.1,Ноктюрн Си Op.32 No.1,Nocturne en B Op.32 No.1,Nocturne i B Op.32 No.1,Nocturne ใน B op.32 No.1,B op.32 No.1'de Nocturne,B minör Nocturne Op.32 No.1,Nocturne trong B Op.32 No.1
272,Sonatina in B flat Op.168 No.4,Sonatina in B flat Op.168 No.4,No.4 Op.168 السوناتينا في سلم سي,降B大调奏鸣曲,降B大調奏鳴曲,Sonatina in B Flat Op.168 nr. 4,Sonatina in B flat Op.168 No.4,Sonatina in B Flat Op.168 No.4,Sonatina en B Flat Op.168 n ° 4,Sonatina in B flat Op.168 Nr.4,बी फ्लैट ओप में सोनाटिना,Sonatina di B Flat Op.168 No.4,Sonatina in B Flat Op.168 No.4,Sonatina in B flat Op. 168 No. 4,ソナチネ 変ロ長調 Op.168-4,Sonatina di B Flat Op.168 No.4,Sonatina i B Flat Op.168 No.4,Sonatina w B Flat op.168 nr 4,Sonatina em B Flat Op.168 No.4,Sonatina em B Flat Op.168 No.4,Сонатина cи-бемоль Op.168 No.4,Sonatina en B Flat Op.168 No.4,Sonatina i B Flat Op.168 No.4,Sonatina ใน B Flat Op.168 No.4,Sonatina'da B Flat Op.168 No.4,B bemol Sonatina Op.168 No.4,Sonatina trong B Flat Op.168 No.4
273,Two Caprices No.2,Two Caprices No.2,No.2 اثنين من النزوات,随想曲 No.2,隨想曲 No.2,Twee caprices nr. 2,Two Caprices No.2,Kaksi kapriisia nro 2,Deux caprices n ° 2,Two Caprices Nr.2,दो Caprices No.2,Dua Caprices No.2,Due capricci n. 2,Two Caprices No. 2,2つのカプリッチオ 第2番,Dua Caprices No.2,To caprices No.2,Dwa kaprysy nr 2,Dois Caprices No.2,Dois Caprices No.2,Два Каприса No.2,Dos caprices No.2,Två Caprices No.2,สอง Caprices No.2,İki Caprices No.2,İki Kapris No.2,Hai MTRICES số 2
274,Fantaisies Op.16 No.1,Fantaisies Op.16 No.1,No.1 Op.16 الأوهام,幻想曲 Op.16 No.1,幻想曲 Op.16 No.1,Fantaisies Op.16 Nr. 1,Fantaisies Op.16 No.1,Fantaisies Op.16 No.1,Fantaisies Op.16 No.1,Fantaisies Op.16 Nr.1,Fantaisies Op.16 No.1,Fantaisies Op.16 No.1,Fantaisies op.16 n. 1,Fantaisies Op. 16 No. 1,幻想曲 Op.16-1,Fantaisies Op.16 No.1,Fantaisies Op.16 No.1,Fantaisies op.16 nr 1,Fantaisies Op.16 No.1,Fantaisies Op.16 No.1,Фантазии в манере Op.16 No.1,Fantaisies Op.16 No.1,Fantaisies Op.16 No.1,Fantaisies Op.16 No.1,Fantazi Op.16 No.1,Fantazi Op.16 No.1,Fantaisies Op.16 No.1
275,Colonel Bogey March,Colonel Bogey March,مسيرة كولونيل بوجي,波基上校进行曲,波基上校進行曲,Kolonel Bogey maart,Colonel Bogey March,Eversti Bogey March,Colonel Bogey March,Colonel Bogey March,कर्नल बोगी मार्च,Kolonel Bogey March,Colonnello Bogey March,Colonel Bogey March,ボギー大佐,Kolonel Bogey March,Oberst Bogey March,Pułkownik Bogey March,Coronel Bogey março,Coronel Bogey março,Полковник Bogey March,Coronel Bogey March,Överste bogey marsch,พันเอกโบกี้มีนาคม,Albay Bogey Mart,Albay Bogey Marşı,Đại tá Bogey March
276,Etude Op.109 No.10,Etude Op.109 No.10,No.10 Op.109 القطعة الموسيقية,快步 Op.109 No.10,快步 Op.109 No.10,ETUDE OP.109 Nr. 10,Etude Op.109 No.10,Etude Op.109 No.10,Etude OP.109 No.10,Etude Op.109 Nr.10,Etude op.109 No.10,Etude Op.109 No.10,Etude op.109 n. 10,Etude Op. 109 No. 10,練習曲 Op.109-10,Etude Op.109 No.10,Etude op.109 nr.10,Etude op.109 nr 10,Etude Op.109 No.10,Etude Op.109 No.10,Этюд Op.109 No.10,Etude Op.109 No.10,Etude Op.109 No.10,Etude op.109 No.10,Erude op.109 No.10,Etüd Op.109 No.10,Etude Op.109 Số 10
277,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,拨弦波尔卡,撥弦波爾卡,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Polka Pizzicato Op.234,Pizzicato Polka Op.234,PIZZICATO POLKA OP.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Pizzicato Polka Op. 234,ピチカート ポルカ Op.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Pizzicato polka op.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Полька Пиццикато Op.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Pizzicato Polka Op.234,Pizzikato Polka Op.234,Pizzikato Polka Op.234,Pizzicato polka op.234
278,Old French Song Op.39 No.16,Old French Song Op.39 No.16,No.16 Op.39 أغنية فرنسية قديمة,古老的法国歌曲,古老的法國歌曲,Oude Frans lied op.39 nr. 16,Old French Song Op.39 No.16,Vanha ranskalainen kappale Op.39 No.16,Old French Song Op.39 No.16,Old French Song Op.39 Nr.16,पुराने फ्रांसीसी गीत op.39 No.16,Lagu Prancis Lama Op.39 No.16,Old French Song Op.39 No.16,Old French Song Op. 39 No. 16,フランスの古い歌 Op.39-16,Lagu Perancis Lama Op.39 No.16,Gammel fransk sang op.39 nr.16,Stara francuska piosenka op.39 nr 16,Música francesa antiga op.39 No.16,Música francesa antiga op.39 No.16,Старая французская песня Op.39 №16,Old French Song Op.39 No.16,Old French Song Op.39 No.16,เพลงฝรั่งเศสเก่า Op.39 No.16,Eski Fransızca Şarkı Op.39 No.16,Eski Fransız Şarkısı Op.39 No.16,Bài hát cũ của Pháp Op.39 No.16
279,Valse Ballet,Valse Ballet,فالس الباليه,芭蕾圆舞曲,芭蕾圓舞曲,Valse ballet,Valse Ballet,Valse -baletti,Ballet de valse,Valse Ballet,वैलस बैले,Valse Ballet,Valse Ballet,Valse Ballet,ワルツ - バレエ,Ballet Valse,Vals ballett,Valse Balet,Valse Ballet,Valse Ballet,Вальс Балет,Ballet valse,Vaktballet,บัลเล่ต์ Valse,Değer balesi,Bale Valsi,Valse ballet
280,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,المازوركا - Op.87 بيلا ريفا,玛祖卡舞曲 Op.87,瑪祖卡舞曲 Op.87,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,बेला रीवा ओप .87 - माजुरका,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Bella Riva Op. 87 - Mazurka,ベラ・リヴァ Op.87 - マズルカ,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Bella Riva op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Белла Рива Op.87 - Мазурка,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka,Bella Riva Op.87 - Mazurka
281,Pastoral,Pastoral,الراعي,牧歌,牧歌,Pastorale,Pastoral,Pastoraali,Pastorale,Pastoral,देहाती,Pastoral,Pastorale,Pastoral,牧歌,Pastoral,Pastoral,Pasterski,Pastoral,Pastoral,Пастораль,Pastoral,Pastoral,อภิบาล,Pastoral,Pastoral,Mục vụ
282,Pepita Polka Op.138,Pepita Polka Op.138,Pepita Polka Op.138,佩皮塔波尔卡,佩皮塔波爾卡,Pepita Polka Op.138,Pepita Polka Op.138,Pepita Polka Op.138,Pepita polka op.138,Pepita Polka Op.138,PEPITA POLKA OP.138,Pepita Polka Op.138,Pepita Polka Op.138,Pepita Polka Op. 138,ペピータポルカ Op.138,Pepita Polka Op.138,Pepita Polka Op.138,Pepita polka op.138,Pepita Polka Op.138,Pepita Polka Op.138,Пепита полька Op.138,Pepita Polka Op.138,Pepita Polka Op.138,Pepita Polka Op.138,Pepita Polka Op.138,Pepita Polka Op.138,Pepita polka op.138
283,Gavotte1,Gavotte,رقصة الغافوتية,加沃特,加沃特,Gavotte,Gavotte,Gavotte,Gavotte,Gavotte,गवोटे,Gavotte,Gavotta,Gavotte,ガボット Op.183-1,Gavotte,Gavotte,Gawot,Gavota,Gavota,Гавот,Gavota,Gavott,Gavotte,Gavot dansı,Gavotte,Gavotte
284,Berceuse,Berceuse,Berceuse,摇篮曲,搖籃曲,Berceuse,Berceuse,Berceuse,Berceuse,Berceuse,बेरसेयस,Berceuse,Berceuse,Berceuse,ベルスーズ,Berceuse,Berceuse,Berceuse,Berceuse,Berceuse,Колыбельная,Berceuse,Berra,ชาวเบิร์ก,Börek,Ninni,Berceuse
285,The Chrysanthemum,The Chrysanthemum,الاقحوان,菊花拉格泰姆,菊花拉格泰姆,Het chrysanthemum,The Chrysanthemum,Krysanteemi,Le chrysanthemum,The Chrysanthemum,गुलदस्ता,Chrysanthemum,Il crisantemo,The Chrysanthemum,クリサンシマム,Chrysanthemum,Chrysanthemum,Chryzantem,O crisântemo,O crisântemo,Хризантемы,El crisantemo,Krysantemum,ดอกเบญจมาศ,Krizantem,Krizantem,Hoa cúc
286,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,女巫之舞,女巫之舞,Hexentanz Op.17 Nr. 2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Hexentanz op.17 n ° 2,Hexentanz Op.17 Nr.2,हेक्सेंटन्ज़ ओप .17 नंबर 2,Hexentanz Op.17 No.2,Hexentanz op.17 n. 2,Hexentanz Op. 17 No. 2,ヘクセン・タンツ Op.17-2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Hexentanz op.17 nr 2,Hexentanz op.17 No.2,Hexentanz op.17 No.2,Танец ведьм Op.17 №2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Hexentanz Op.17 No.2,Cadı Dansı op.17 No.2,Cadı Dansı Op.17 No.2,Hexentanz Op.17 No.2
287,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,协奏曲 Op.6 No.9 - 加沃特,協奏曲 Op.6 No.9 - 加沃特,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,CONCERTO GROSO OP.6 NO.9 IV.GAVOTTE,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op. 6 No. 9 IV. Gavotte,コンチェルト・グロッソ Op.6-9 ガボット,Concerto Grosso Op.6 No.9 IV.GAVOTTE,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso op.6 nr 9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,"Кончерто гроссо Op.6 №9, IV. Гавот",Concierto Grosso Op.6 No.9 IV.Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte,คอนแชร์โต้ Grosso Op.6 No.9 IV.GAVOTTE,Concerto Grosso Op.6 No.9 IV. Gavotte,Concerto Grosso Op.6 No.9 IV. Gavotte,Concerto Grosso Op.6 No.9 IV.Gavotte
288,L'enjouee Op.109 No.6,L'enjouee Op.109 No.6,No.6 Op.109 الغفريت,愉快的少女,愉快的少女,L'Enjouee Op.109 Nr. 6,L'enjouee Op.109 No.6,L'Enjouee Op.109 No.6,L'Onjoue Op.109 No.6,L'enjouee Op.109 Nr.6,L'NJouee Op.109 No.6,L'Enjouee Op.109 No.6,L'Enjouee op.109 n. 6,L'enjouee Op. 109 No. 6,陽気な少女 Op.109-6,L'ENJOUEE OP.109 NO.6,L'Enjouee Op.109 No.6,L'enjouee op.109 nr 6,L'enjouee Op.109 No.6,L'enjouee Op.109 No.6,Радостная Op.109 №6,L'enjouee op.109 No.6,L'Enjouee Op.109 No.6,l'Enjouee op.109 ฉบับที่ 6,Neşeli Op.109 No.6,Neşeli Op.109 No.6,L'enjouee op.109 số 6
289,Quartet in C Major WoO 36 No.3,Quartet in C Major WoO 36 No.3,Quartet in C Major WoO 36 No.3,C大调四重奏 WoO 36 No.3,C大調四重奏 WoO 36 No.3,Kwartet in C Major Woo 36 No.3,Quartet in C Major WoO 36 No.3,Kvartetti C Major Woo 36 No.3,Quartet dans C Major Woo 36 n ° 3,Quartet in C Major WoO 36 Nr.3,सी मेजर वू 36 नंबर 3 में चौकड़ी,Kuartet di C Mayor Woo 36 No.3,Quartetto in C Major Woo 36 No.3,Quartet in C Major WoO 36 No. 3,弦楽四重奏 ハ長調 WoO36-3,Kuartet di C Major Woo 36 No.3,Kvartett i C Major Woo 36 No.3,Kwartet w C Major Woo 36 nr 3,Quarteto em C Major Woo 36 No.3,Quarteto em C Major Woo 36 No.3,Квартет до мажор WoO 36 No.3,Cuarteto en C Major Woo 36 No.3,Kvartett i C Major Woo 36 No.3,Quartet ใน C Major Woo 36 No.3,C Major Woo 36 No.3,C Majör Keman Dörtlüsü WoO 36 No.3,Bộ tứ trong C Major Woo 36 No.3
290,Auf dem Wasser zu singen,Auf dem Wasser zu singen,Auf dem Wasser zu singen,水上吟,水上吟,Auf dem wasser zu singen,Auf dem Wasser zu singen,Auf Dem Wasser Zu Singen,Auf Dem Wasser Zu Singen,Auf dem Wasser zu singen,Auf dem wasser zu singen,Auf dem wasser zu singen,Auf Dem Wasser Zu Singen,Auf dem Wasser zu singen,水上吟,Auf Dem Wasser Zu Singen,Auf dem Wasser Zu Sente,Auf Dem Wasser Zu Singen,AUF dem Wasser Zu Singen,AUF dem Wasser Zu Singen,Пение на воде,Auf dem wasser zu Singen,Auf Dem Wasser Zu Singen,Auf Dem Wasser Zu Singen,Suda Şarkı Söylemek,Suda Şarkı Söylemek,Auf dem wasser zu singen
291,Bink's Waltz,Bink's Waltz,فالس البينك,宾克圆舞曲,賓克圓舞曲,Bink's Waltz,Bink's Waltz,Binkin valssi,Bink's Waltz,Bink's Waltz,बिंक का वाल्ट्ज,Waltz Bink,Il valzer di Bink,Bink's Waltz,ビンク・ワルツ,Waltz Bink,Bink's Waltz,Bink's Waltz,Valsa de Bink,Valsa de Bink,Вальс Бинка,Bink's Waltz,Binks vals,Bink's Waltz,Bink’in Valsi,Bink’in Valsi,Waltz của Bink
292,Danse Russe Op.68 No.4,Danse Russe Op.68 No.4,Danse Russe Op.68 No.4,俄罗斯舞曲 Op.68 No.4,俄羅斯舞曲 Op.68 No.4,DANSE RUSSE Op.68 Nr. 4,Danse Russe Op.68 No.4,Danse Russe Op.68 No.4,Danse Russe Op.68 No.4,Danse Russe Op.68 Nr.4,Danse Russe Op.68 No.4,Danse Russe Op.68 No.4,Danse Russe Op.68 No.4,Danse Russe Op. 68 No. 4,ロシアの踊り Op.68-4,Danse Russe Op.68 No.4,Danse Russe Op.68 No.4,Danse Russe op.68 nr 4,Danse Russe op.68 No.4,Danse Russe op.68 No.4,Русский танец Op.68 №4,Danse Russe Op.68 No.4,DANSE RUSSE OP.68 NO.4,Danse Russe Op.68 No.4,Rus Dansı Op.68 No.4,Rus Dansı Op.68 No.4,Danse Russe Op68 No.4
293,Chanson De Matin Op.15 No.2,Chanson De Matin Op.15 No.2,Chanson De Matin Op.15 No.2,晨曲,晨曲,Chanson de Matin Op.15 Nr. 2,Chanson De Matin Op.15 No.2,Chanson de Matin Op.15 No.2,Chanson de Matin Op.15 No.2,Chanson De Matin Op.15 Nr.2,चैनसन डी मैटिन ओप .15 नंबर 2,Chanson de Matin Op.15 No.2,Chanson de Matin Op.15 n. 2,Chanson De Matin Op. 15 No. 2,朝の歌 Op.15-2,Chanson de Matin Op.15 No.2,Chanson de Matin Op.15 No.2,Chanson de Matin op.15 nr 2,Chanson de Matin Op.15 No.2,Chanson de Matin Op.15 No.2,Шансон Де Матин Op.15 No.2,Chanson de Matin Op.15 No.2,Chanson de Matin Op.15 No.2,Chanson de Matin Op.15 No.2,Sabah Şarkısı Op.15 No.2,Sabah Şarkısı Op.15 No.2,Chanson de Matin Op.15 No.2
294,Battle Of Waterloo,Battle Of Waterloo,معركة واترلو,滑铁卢之战,滑鐵盧之戰,Battle of Waterloo,Battle Of Waterloo,Waterloon taistelu,Bataille de Waterloo,Schlacht bei Waterloo,वाटरलू की लड़ाई,Pertempuran Waterloo,Battaglia di Waterloo,Battle of Waterloo,ワーテルローの戦い,Pertempuran Waterloo,Slaget ved Waterloo,Bitwa pod Waterloo,Batalha de Waterloo,Batalha de Waterloo,Битва при Ватерлоо,Batalla de Waterloo,Strid vid Waterloo,การต่อสู้ของวอเตอร์ลู,Waterloo Savaşı,Waterloo Savaşı,Trận chiến Waterloo
295,Concerto Grosso Op.6 No.9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda,协奏曲 Op.6 No.9 - 阿勒曼德,協奏曲 Op.6 No.9 - 阿勒曼德,Concerto Grosso Op.6 Nr. 9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda,Concerto Grosso Op.6 nro 9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda,कॉन्सर्टो ग्रोसो ओप .6 नंबर 9 एलेमांडा,Concerto Grosso Op.6 No.9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda,Concerto Grosso Op. 6 No. 9 Allemanda,コンチェルト・グロッソ Op.6-9 アラマンダ,Concerto Grosso Op.6 No.9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda,Koncert Grosso op.6 nr 9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda,"Кончерто гроссо Op.6 №9, Аллеманда",Concierto Grosso Op.6 No.9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda,คอนแชร์โต้ Grosso Op.6 No.9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda,Concerto Grosso Op.6 No.9 Allemanda
296,Sonate No.5 Mvt.1,Sonate No.5 Mvt.1,Mvt.1 No.5 السوناتا,奏鸣曲 No.5 Mvt.1,奏鳴曲 No.5 Mvt.1,Sonate No.5 Mvt.1,Sonate No.5 Mvt.1,Sonaatti nro 5 MVT.1,Song n ° 5 MVT.1,Sonate Nr.5 Mvt.1,SONATE NO.5 MVT.1,Sonate No.5 MVT.1,SONATE NO.5 MVT.1,Sonate No. 5 Mvt. 1,ソナタ 第5番 第1楽章,Sonate No.5 MVT.1,Sonate No.5 MVT.1,Sonate nr 5 Mvt.1,Sonate No.5 Mvt.1,Sonate No.5 Mvt.1,Соната No.5 Mvt.1,Sonado No.5 MVT.1,Sonate No.5 MVT.1,Sonate No.5 MVT.1,Sonat No.5 Mvt.1,Sonate No.5 Bölüm 1,Sonate No.5 MVT.1
297,Sonata No.13 D.664 Mvt.3,Sonata No.13 D.664 Mvt.3,Mvt.3 D.664 No.13 السوناتا,奏鸣曲 No.13 D.664 Mvt.3,奏鳴曲 No.13 D.664 Mvt.3,Sonata No.13 D.664 MVT.3,Sonata No.13 D.664 Mvt.3,Sonaatti nro 13 D.664 MVT.3,Sonate n ° 13 D.664 MVT.3,Sonata Nr.13 D.664 Mvt.3,सोनाटा नं .13 D.664 MVT.3,Sonata No.13 D.664 MVT.3,Sonata No.13 D.664 Mvt.3,Sonata No. 13 D.664 Mvt. 3,ソナタ 第13番 D.664 第3楽章,Sonata No.13 D.664 MVT.3,Sonata No.13 D.664 MVT.3,Sonata nr 13 D.664 Mvt.3,Sonata No.13 D.664 MVT.3,Sonata No.13 D.664 MVT.3,Соната No.13 D.664 Mvt.3,Sonata No.13 D.664 MVT.3,Sonata nr.13 D.664 MVT.3,Sonata No.13 D.664 MVT.3,Sonata No.13 D.664 Bölüm 3,Sonata No.13 D.664 Bölüm 3,Sonata No.13 D.664 MVT.3
298,Allemande in A Major WoO 81,Allemande in A Major WoO 81,Allemande in A Major WoO 81,阿勒曼德 WoO 81,阿勒曼德 WoO 81,Allemande in een grote woo 81,Allemande in A Major WoO 81,Allemande suuressa woo 81: ssä,Allemande dans un major woo 81,Allemande in A Major WoO 81,एक प्रमुख वू 81 में अल्लेमंडे,Allemande di Woo 81 utama,AlleMande in un importante woo 81,Allemande in A Major WoO 81,アラマンダ ロ長調 WoO 81,Allemande dalam woo 81 utama,Allemande i en stor woo 81,Allemande w major Woo 81,Allemande em um grande woo 81,Allemande em um grande woo 81,Аллеманда ля мажор WoO 81,Allemande en un gran woo 81,Allemande i en stor woo 81,Allemande ใน Woo Major 81,Allemande büyük bir woo 81,A Majör Allemande WoO 81,Allemande trong một Woo 81 lớn
299,Standchen von Shakespeare,Standchen von Shakespeare,ستاندشن فون شكسبير,听，听，云雀,聽，聽，雲雀,Standchen von Shakespeare,Standchen von Shakespeare,Standchen von Shakespeare,Standchen von Shakespeare,Standchen von Shakespeare,स्टैंडन वॉन शेक्सपियर,Standchen von Shakespeare,Standchen von Shakespeare,Standchen von Shakespeare,シェークスピアのセレナーデ,Standchen von Shakespeare,Standchen von Shakespeare,Standchen von Shakespeare,Standchen von Shakespeare,Standchen von Shakespeare,Станцующий от Шекспира,Standchen von Shakespeare,Standchen von Shakespeare,Standchen von Shakespeare,Shakespeare Ninnisi,Shakespeare Ninnisi,Standchen von Shakespeare
300,Rakoczy March,Rakoczy March,Rakoczy March,拉科齐进行曲,拉科齊進行曲,Rakoczy maart,Rakoczy March,Rakoczy maaliskuu,Rakoczy March,Rakoczy March,Rakoczy मार्च,March Rakoczy,Rakoczy March,Rakoczy March,ラーコーツィ行進曲,Rakoczy March,Rakoczy mars,Rakorzy March,Rakoczy March,Rakoczy March,Марши Ракоци,Marzo rakoczy,Rakoczy marsch,Rakoczy March,Rakoczy yürüyüşü,Rakoczy Marşı,Rakoczy March
301,Rondo Brillante Op.62,Rondo Brillante Op.62,روندو بريلانتي,华丽回旋曲 Op.62,華麗迴旋曲 Op.62,Rondo Brillante Op.62,Rondo Brillante Op.62,Rondo Brillante Op.62,Rondo Brillante Op.62,Rondo Brillante Op.62,रोंडो ब्रिलांटे ओप .62,Rondo Brillante Op.62,RONDO BRILLANTE OP.62,Rondo Brillante Op. 62,華麗なるロンド Op.62,Rondo Brillante Op.62,Rondo Brillante Op.62,Rondo Brillante Op.62,Rondo Brillante Op.62,Rondo Brillante Op.62,Блестящее рондо Op.62,Rondo Brillante Op.62,Rondo Brillante Op.62,Rondo Brillante op.62,Rondo Brillante Op.62,Parlak Rondo Op.62,Rondo Brillante Op.62
